name,host_name,neighbourhood,room_type,price,minimum_nights,availability_365
Sweet room in W. Asheville bungalow,Pamella,28806,Private room,45,1,328
bedrm in heart of west asheville,Mildred (I Go By Lee),28806,Private room,58,2,360
Crescent Moon Cottage - W/Asheville,Cristina And Hal,28806,Entire home/apt,110,2,239
Bungalow in Walkable West Asheville,Elizabeth,28806,Entire home/apt,199,2,197
Boutique apt in West Asheville,Neal And Alyssa,28806,Entire home/apt,70,1,43
Charming Bungalow    Two Room Suite,Susan,28806,Private room,80,1,67
Inn on Westwood - Bennett Suite Avl,"Robert, Caroline, And Molly",28806,Entire home/apt,215,2,343
Artsy/Zen Bungalow in W. Asheville!,Kristin,28806,Entire home/apt,300,1,322
New Listing: Studio in West AVL,Emily,28806,Entire home/apt,60,2,162
City View Apartment,Ashley,28806,Entire home/apt,75,1,340
Vacation in cohousing community!,Hany,28806,Entire home/apt,70,21,0
Great Location in West Asheville,Kristy,28806,Entire home/apt,150,2,227
Nature Lover's Retreat W/Asheville,Cristina And Hal,28806,Entire home/apt,105,2,242
Yurt! Asheville Glamping! Heat & AC,Joanna And Josh,28806,Entire home/apt,160,2,288
W. Asheville Studio on main strip,Kristy,28806,Entire home/apt,135,2,180
Cozy single bed in West Asheville.,Walter,28806,Private room,37,2,358
1BR btwn D-town & WAVL w/ hot tub,Jeff & Ann-Marie,28806,Private room,85,1,27
The Den - Forest Edge Eco-Suite,Jeremy,28806,Private room,55,1,362
Female Dorm at Sharky's Hostel,BonPaul,28806,Shared room,24,1,359
"Private Room ""Hitchcock"" BPS Hostel",BonPaul,28806,Private room,72,1,364
Colorful & Artistic W. Ashev. Home,Sarah And Russ,28806,Private room,69,2,0
"Sweet spot, bedroom in W. Asheville",Robyn,28806,Private room,50,1,350
Lil' Happy Shack and Garden Goulash,Bill And Monica,28806,Private room,95,3,226
Carriage House Apartment,Beverly,28806,Entire home/apt,175,1,357
Come vacation in West Asheville!,Jennifer,28806,Entire home/apt,150,3,281
Eclectic bedroom in West Asheville,Christina,28806,Private room,39,2,353
West Asheville Woodland Retreat,Santina,28806,Private room,72,1,81
Nana Lynn's Bungalow,Lynn,28806,Entire home/apt,80,1,0
Nana's Nest 2,Johanna,28805,Private room,70,2,325
Studio apartment in tranquil settin,Annie,28805,Private room,65,3,146
Private Asheville Cabin Apartment ,Jim And Jan,28805,Entire home/apt,170,3,346
Cheyenne and Aaron welcome you! :),Cheyenne,28805,Private room,45,1,16
My Home on Teems Lane,Maurice,28805,Private room,59,1,0
Rejuvenating Room with River View,Amanda,28805,Private room,69,1,310
Charming  Apartment on Private Land,Tara,28805,Entire home/apt,79,2,317
Cozy mountain retreat with views!,Skylar,28805,Entire home/apt,92,1,358
"Sweet, private, above-garage studio",Cara And Eric,28805,Private room,85,2,340
Serene stay-4min away: dwntwn/play,Anita,28805,Private room,75,1,340
Nana's nest 3,Johanna,28805,Private room,60,2,363
"SERENE, SPACIOUS , HISTORIC HOME!!",Karen,28805,Private room,75,2,365
Cozy Cabin 10 Minutes to DT AVL,Lori,28805,Entire home/apt,130,2,257
Private Lakefront Mother-in-Law Apt,Dawn,28805,Entire home/apt,150,1,305
Groove Stone Getaway,Louis,28805,Entire home/apt,119,2,264
Mid Century Modern Basement Apt..,Marta,28805,Entire home/apt,70,3,337
Asheville Mtn. Retreat,Becky,28805,Entire home/apt,120,2,329
Cabin 19.  7 min to downtown AVL,Gene,28805,Entire home/apt,99,1,308
The Kitty Loft,Ellie,28805,Entire home/apt,30,14,135
"Cozy Cottage, minutes from downtown",Maria,28805,Entire home/apt,150,2,187
Lovely mtn home with a view! 2,Linda,28805,Private room,50,2,354
LUX B&B ~ HOT-TUB ~ VIEWS ~ AVL 2M,Marc & Fay,28805,Private room,95,2,350
Lovely mtn home with a view! 1,Linda,28805,Private room,79,2,365
Cozy Room in Mountain Home,Ellie,28805,Private room,35,1,115
Beverly Hills East Coast,Rebecca,28805,Private room,40,2,220
Cozy AVL Suite Near Everything,Kambra,28805,Private room,99,2,359
HOT-TUB ~ LUX B&B ~ VIEWS ~ DTN 2M,Marc & Fay,28805,Private room,95,2,362
Charming Country Farmhouse,Jodee,28805,Entire home/apt,130,1,116
4th floor condo off Tunnel Rd.,Kenet,28805,Private room,60,2,21
Serene Historic Home,Karen,28805,Private room,75,3,365
Custom Craftsman-10 mins from town,Reed,28805,Entire home/apt,420,2,353
Comfortable Basement Apartment,Ellie,28805,Entire home/apt,55,1,347
Constitution Cottage,Alison,28805,Entire home/apt,149,3,134
Clean & Classic House on the Hill,Mike,28805,Entire home/apt,175,3,321
"LowerLevel Private bedroom , bath",Kathy,28805,Private room,50,2,317
Blue Ridge Cottage  5 Acre Forest,Doug,28805,Entire home/apt,97,2,278
Peaceful Mountainside Living ,Daniel,28805,Private room,88,2,182
Crescent Moon Cottage- Asheville NC,Becky,28805,Entire home/apt,95,2,300
Private Retreat Near Downtown,Lou,28805,Private room,72,2,40
Bright Bedroom with Amazing View!,Ellie,28805,Private room,40,1,115
Studio Apartment in Serene Setting.,Sandi,28805,Entire home/apt,70,2,314
Hidden getaway close to downtown!,Jessica,28805,Entire home/apt,129,2,355
"Riverbend ""Treehouse"" Studio",Heather,28805,Entire home/apt,80,1,184
Apartment for the weekend,Dalia,28805,Entire home/apt,175,1,363
Beautiful Mountain Home,Ellie,28805,Entire home/apt,175,1,311
"Master Suite w/ whirlpool tub, king",Patrick,28805,Private room,75,2,103
LEFT BANK B&B - AN ARTISAN B&B,Sam & Oksana,28805,Entire home/apt,225,1,164
"Asheville Dreamer's Cabin , Hot Tub",Annie,28805,Private room,65,3,178
The Swannanoa River Rock House,Bland,28805,Entire home/apt,175,3,319
"4th Floor condominium-2 bed, 2 bath",Kenet,28805,Entire home/apt,150,3,10
Cabin 17.  7 min to downtown AVL,Gene,28805,Entire home/apt,99,1,360
Lovely mtn home with a view! 3,Linda,28805,Entire home/apt,58,2,327
Cabin 18. 7 min to downtown AVL,Gene,28805,Entire home/apt,99,1,323
Private Mountain Hideaway in Town,Belinda,28805,Private room,85,2,103
GLAMPING Airstream B&B Lux Mtn View,Marc & Fay,28805,Entire home/apt,95,2,351
Rustic Cabin in Asheville Forest,Birgit,28805,Entire home/apt,195,3,191
Contemporary Studio in Eco-Cottage,Julia,28805,Entire home/apt,65,3,211
"Newly renovated, 10 minutes to town",Kim,28805,Entire home/apt,235,2,311
"Beautiful, NEW 2 Bedroom Near Dwntn",Don,28805,Entire home/apt,189,2,334
Quiet Spacious Family Home,Mike,28805,Entire home/apt,150,2,169
Mid Century Home Close DownTown,Lori,28805,Entire home/apt,150,2,328
Downtown Beautiful Comfy Modern Apt,Valorie,28805,Entire home/apt,130,1,266
Asheville 5 min downtown. Vacation,Don,28805,Entire home/apt,100,2,277
Sommer Beech House,Jeanne,28805,Entire home/apt,450,4,45
Gorgeous Mountain View 3BD,Ellie,28805,Entire home/apt,120,1,311
Nana's Nest,Johanna,28805,Private room,60,2,356
Beauty & Peace in Asheville,Krys And Steve,28805,Entire home/apt,75,1,103
The River House Asheville,Bland,28805,Entire home/apt,195,2,310
Hiking & Nature Minutes to Downtown,Cooper,28805,Private room,74,2,365
Luxury  Close to downtown Views,Suzanne,28805,Entire home/apt,169,4,169
Asheville Mountain Home ON RIVER!  ,Andy,28805,Private room,90,2,269
Farm School Cottage,Janet,28805,Entire home/apt,184,2,337
Lux Apt ~ B&B ~ HOT-TUB ~ Mtn Views,Marc & Fay,28805,Entire home/apt,145,3,332
"Peaceful, Spacious Mountain Retreat",Jenna And Chris,28805,Entire home/apt,175,1,315
10 Minutes to Downtown  Epic Views!,Louise,28805,Entire home/apt,275,3,251
Master Bedroom with Private Bath,Ellie,28805,Private room,50,1,115
Nanna's Nook,Johanna,28805,Entire home/apt,110,2,0
Queen memory foam on top of futon,Ann-Lee,28805,Private room,65,1,364
Asheville East Mountainside Retreat,Jeanine,28805,Entire home/apt,139,3,64
Beautiful home with a view! 4,Linda,28805,Entire home/apt,225,2,341
Modern Master - Minutes to Downtown,Kelsey,28805,Entire home/apt,79,2,365
Serenity 12 minutes from downtown,Patrick,28805,Private room,49,2,351
Woodsy basement studio mins to town,Kathleen,28805,Entire home/apt,75,3,365
25 Acre Retreat 9 Miles to Downtown,W N C,28805,Entire home/apt,120,2,348
Sunny Modern Country Apartment,Matt,28805,Entire home/apt,75,2,279
Secluded but convenient cabin,Simms,28805,Entire home/apt,125,2,333
NEW: 12 minutes to downtown,Patrick,28805,Entire home/apt,179,3,343
Asheville Mountainside Getaway,Jeanine,28805,Entire home/apt,129,3,202
Tiny retreat just off the intereste,Drew,28805,Private room,85,1,88
Zen Garden Home and Gardens,Norma,28805,Private room,95,1,361
Quietude 12 minutes from downtown,Patrick,28805,Private room,59,2,348
Secluded Modern Cabin with Hot Tub,Shari & Spencer,28805,Entire home/apt,275,2,245
Cozy place 6.5 miles to Downtown,Kelsey,28805,Entire home/apt,125,3,74
Convenient to Everything! Private,Louise,28805,Entire home/apt,260,3,207
Creekside Bed & Breakfast(homemade),Alexi,28805,Private room,105,1,318
Awesome Asheville Space!,Chris And Nichole,28805,Entire home/apt,65,2,362
